Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
41,2.0,0.9785,"vogue, box, mystery, dress, artwork, flame, city, pm, video, series",olivier rousteing designed virtual flame dress exclusively vogue voguenftissue artwork available purchase via 20 9 12pm
42,3.0,0.9704,"collection, vogue, available, voguesingapore, think, founder, long, include, trunk, iconic",chance vogue september covers along rest vogue september collection find take part auction 20 9 12pm sgt via
43,0.0,0.9845,"issue, create, cover, available, vogue, design, live, vase, historic, voguenftissue",italian design duo lanzavecchia wai created digitally rendered vase made blooms aptly named living vase 01 voguenftissue artwork available purchase via 20 9 12pm
44,1.0,0.9744,"join, chat, voguesingapore, artist, super, voguenftcollection, win, voguenftissue, art, technology",join vogue twitter spaces sunday 19 9 8pm sgt 12pm utc hear artists behind 2 covers click set reminder
45,2.0,0.9872,"vogue, box, mystery, dress, artwork, flame, city, pm, video, series",congrats 2 winners vogue mystery box lucky draw youll receive timepiece swiss independent luxury watch brand graham watchmakers thanks took part stay tuned vogue september collection launching 20 9
46,4.0,0.5239,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",vogue singapores september issue dedicated enter discover 2 virtual covers available purchase created collaboration baelfdesign
47,4.0,0.9763,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",head helen hai answers questions really layman help artists creators make better living
48,2.0,0.9723,"vogue, box, mystery, dress, artwork, flame, city, pm, video, series",vogue mystery box partnership drops 7pm tonight heres full look 10 cities mystery box set
49,0.0,0.9104,"issue, create, cover, available, vogue, design, live, vase, historic, voguenftissue",cat bag rather astronaut box
50,1.0,0.9833,"join, chat, voguesingapore, artist, super, voguenftcollection, win, voguenftissue, art, technology",3 3 obtain 3 super super rare city cards vogue mystery box youll chance join lucky draw win 1 3 staycations worth us 409 hotelux
51,4.0,0.6414,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",2 3 collect 10 cities directed via secret link chance buy 11th limited edition sunrise complete full mystery box set running get luxury timepiece
52,2.0,0.9824,"vogue, box, mystery, dress, artwork, flame, city, pm, video, series",1 3 vogue debuting series mystery boxes retailing partnership 7pm sgt 20 8 vogue mystery box contains artwork depicting sunrise 10 cities
53,3.0,0.9833,"collection, vogue, available, voguesingapore, think, founder, long, include, trunk, iconic",paying tribute legendary founder global months long spectacle includes iconic trunk reimagined contributors bts embedded video game documentary
54,2.0,0.934,"vogue, box, mystery, dress, artwork, flame, city, pm, video, series",founder tells us expect see ever showcase kind cawa cryptoart
