Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
46,3.0,0.3364,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",philipp plein soon invade plein plaza 1 4 million plot decentraland
47,3.0,0.3248,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",love hate space
48,3.0,0.3996,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",hill mark zuckerberg wont stop running fact hill humanoid ceo might die
49,2.0,0.4997,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",interview 2022 footwear vanguards series speak joey khamis putting innovative designs whole new
50,0.0,0.3685,"drop, fashion, love, world, big, new, time, begin, go, pendant",bots swatted initial drop gucci rearranging drop
51,3.0,0.3996,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",hill mark zuckerberg wont stop running fact hill humanoid ceo might die
52,0.0,0.3172,"drop, fashion, love, world, big, new, time, begin, go, pendant",justin bieber purchased 1 3 million big deal
53,3.0,0.3924,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",moon lamborghinis collection appropriately space themed
54,2.0,0.3908,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",moon boot auction closed via worry yall cop pair boots matching sweater tomorrow 9 est 3 pm cet via highsnobiety shop
55,2.0,0.3265,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",enter collaborative moon boot auction via
56,2.0,0.4488,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",blockchain foundation mcqs creative community creation collection makes perfect sense
57,0.0,0.395,"drop, fashion, love, world, big, new, time, begin, go, pendant",highsnobiety officially entered game reporting rise fashion space felt fitting made
58,0.0,0.395,"drop, fashion, love, world, big, new, time, begin, go, pendant",highsnobiety officially entered game reporting rise fashion space felt fitting made
59,1.0,0.4667,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",weve teamed moon boot create 3 unique available january 24 9 est 3 pm cet purchase youll cop pair matching moon boots highsnobiety alpaca sweater
60,2.0,0.2883,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",pradas adidas second driven entirely community
61,1.0,0.3283,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",howdy weve teamed moon boot take new frontiers via stay tuned latest
62,3.0,0.3889,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",according walmarts recent trademark filings megastore going
63,3.0,0.5266,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",edgar plans lil heroes top five hottest upcoming collections launch
64,3.0,0.5266,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",edgar plans lil heroes top five hottest upcoming collections launch
65,3.0,0.3449,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",paris hilton iann dior brought big guns headtripz collection
66,1.0,0.3664,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",someone somewhere florida currently bidding melania trumps hat face
67,1.0,0.3833,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",chains mere collectibles turning digital accessories irl ice
68,2.0,0.3648,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",wont someone think poor bored ape collectors
69,0.0,0.5027,"drop, fashion, love, world, big, new, time, begin, go, pendant",analyze seismic impacts fashion industry loss virgil abloh industry shaking move
70,0.0,0.3553,"drop, fashion, love, world, big, new, time, begin, go, pendant",adidas originals bought bored ape yacht club dropping collection
71,0.0,0.3553,"drop, fashion, love, world, big, new, time, begin, go, pendant",adidas originals bought bored ape yacht club dropping collection
72,3.0,0.3302,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",nike acquired rtfkt signaling desire get
73,3.0,0.3671,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",taking wedding online
74,1.0,0.3361,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",kanyes personal donda vests real yeezy grail scooped cool 75k christies auction came free
75,3.0,0.3493,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",getting scented
76,2.0,0.2798,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",jimmy wales talks wikipedias
77,2.0,0.3217,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",rock full balenciaga fit inevitable
78,2.0,0.3264,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",finally embrace parag agrawal
79,3.0,0.2958,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",dont need iphone
80,0.0,0.2825,"drop, fashion, love, world, big, new, time, begin, go, pendant",givenchy hops bandwagon
81,3.0,0.3514,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",jw anderson enters
82,2.0,0.3711,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",finally organic approach releases
83,0.0,0.3087,"drop, fashion, love, world, big, new, time, begin, go, pendant",sorry still skeptical cryptopunks general
84,1.0,0.3772,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",legendary japanese artist entered space huge way naturally read meta right
85,0.0,0.2906,"drop, fashion, love, world, big, new, time, begin, go, pendant",another another drop
86,3.0,0.3497,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",new sneaker models made collaboration li ning show look soullands latest copenhagen outing something
87,3.0,0.3081,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",luxury label launches
88,3.0,0.3848,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",sportswear company wade arena
89,2.0,0.3121,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",flume zawada dropped caught duo discuss change music industry
90,2.0,0.2779,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",blueprints
91,1.0,0.266,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",hanks grammy nominated producer keyon christ earlier week hip hop got release
92,3.0,0.389,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",nasa joined tribe
93,3.0,0.3514,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",ever watch
94,3.0,0.4477,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",search popular marketplaces type keywords like andy warhol nba spiderman nike inevitably looking fakes
95,0.0,0.3599,"drop, fashion, love, world, big, new, time, begin, go, pendant",rtfkt studios continued dominate fashion space
96,1.0,0.3074,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",mary j blige superbowl look available
97,0.0,0.3691,"drop, fashion, love, world, big, new, time, begin, go, pendant",happy report sex shenanigans returned sex city week episode like
98,3.0,0.3949,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",company exactly
99,1.0,0.3678,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",mark zuckerberg wants meta eventually seen company
100,2.0,0.2864,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",online social networking site host runway show collina strada mowalola gypsy sport may 27
101,2.0,0.3307,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",research shows women make 15 crypto users number new women oriented groups working make sure left market
102,1.0,0.3808,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",well know kate moss duty new works yes kate moss selling moss reveals intimate slice life
103,2.0,0.3307,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",research shows women make 15 crypto users number new women oriented groups working make sure left market
104,1.0,0.3788,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",still obscure tech dream lets decipher future meta chic
105,1.0,0.3788,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",still obscure tech dream lets decipher future meta chic
106,1.0,0.3788,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",still obscure tech dream lets decipher future meta chic
107,1.0,0.3788,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",still obscure tech dream lets decipher future meta chic
108,2.0,0.4852,"jewelry, art, make, future, think, community, auction, collector, design, cryptojeweler",photographer jesse frohman launched website auction 100 pictures session photoshoot portion proceeds raised go jed foundation
109,0.0,0.3083,"drop, fashion, love, world, big, new, time, begin, go, pendant",lingerie styling inspiration read key takeaways show
110,3.0,0.2928,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",harry styles got treatment
111,3.0,0.2928,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",harry styles got treatment
112,3.0,0.2928,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",harry styles got treatment
