Tweet,Processed,Likes,Retweets,Replies,Quotes
"We're so honored to collaborate and receive continual support from the @nftbazl community &amp; collectors! 

Did you know through NFT Bazl you can purchase one of Talia's custom 1/1 pieces, Eyes on Me? It's an inspiration for our Eyes of Fashion collection. 

https://t.co/FtAvuwwGnq https://t.co/sGO0Q1Lm47",honored collaborate receive continual support community collectors know bazl purchase talias custom 1 1 pieces eyes inspiration eyes collection,18.0,7.0,6.0,1.0
"*Announcing EoF Access Pass*

We’ll be airdropping a ✨BONUS NFT✨ to the first 888 people that mint 3 or more Eyes of Fashion within a single transaction. The holders of the Access pass will receive VIP benefits.

To win the 1st pass, 
- Follow us
- Like &amp; RT 
- Join discord https://t.co/OY4acexdVT",announcing eof access pass airdropping bonus 888 people mint 3 eyes within single transaction holders access pass receive vip benefits win 1st pass follow us like rt join discord,183.0,155.0,55.0,10.0
"Join our team and @stacieabuhler to discuss Fashion in the metaverse and what that means for traditional artists as they move digital. 

https://t.co/jBmL1mpFrg",join team discuss means traditional artists move digital,28.0,16.0,7.0,1.0
"Meet our amazingly talented artist, @taliazoref! While, this will be Talia's first NFT collection, she's an experienced Artist and Illustrator who creates live Art during Fashion Weeks worldwide. 

🧵 https://t.co/AqG1s0XWO5",meet amazingly talented artist talias collection experienced artist illustrator creates live art weeks worldwide,45.0,23.0,12.0,4.0
"Amazing sketch as always @TaliaZoref!🙌

@garyvee, @EyesoFashionNFT is Talia's 8,888 fine art NFT Collection with 250+ hand-drawn vibrant traits inspired by the contrast between the colorful and fun fashion world and the judging eye that belittles the industry. https://t.co/meROOngtX9",amazing sketch talias 8 888 fine art collection 250 hand drawn vibrant traits inspired contrast colorful fun world judging eye belittles industry,18.0,12.0,10.0,3.0
"@NFTArtWomen @garyvee @TaliaZoref Gary, it’ll be our honor to welcome you to our Eyes Of Fashion community. Thank you for spreading kindness in the NFT community! 😍🙏🏽",gary honor welcome eyes community thank spreading kindness community,1.0,0.0,0.0,0.0
"✨Fashion Inspiration Of The Day: @ParisHilton 🔥😍 A trendsetter goddess, who inspires us to be confident, bold &amp; fabulous. She’s also a force for women’s success in biz &amp; NFTs🙏🏽 Here’s our custom NFT that @TaliaZoref gifted Paris on her wedding!😍 #womeninnft #cryptotwitter https://t.co/2b0s1v9KQV",inspiration trendsetter goddess inspires us confident bold fabulous force women success biz custom gifted paris wedding womeninnft cryptotwitter,20.0,6.0,2.0,0.0
"@jeremyfall @NFT Amazing! Can't wait to see it all come together. If you're looking for more artists, @TaliaZoref, is an international Illustrator &amp; has been featured in Vogue, NY Times, ELLE, Forbes and more. She's capturing the best of luxury and fashion for our upcoming mint in early 2022.",amazing cant wait see come together youre looking artists international illustrator featured vogue ny times elle forbes capturing best luxury upcoming mint early 2022,0.0,0.0,0.0,0.0
"#WoW 1/1 Eyes of Fashion Piece at @SLSHotels #NFT gallery worldwide!

@EyesoFashionNFT #NFTCommunity #FashionNFT #CryptoFashion #miamiartbasel #MiamiArtWeek https://t.co/bZloi2RSk3",wow 1 1 eyes piece gallery worldwide nftcommunity fashionnft cryptofashion miamiartbasel miamiartweek,8.0,4.0,0.0,0.0
"@NFT_BZL @BossBeautiesNFT @lisacmayer Incredible - Boss Beauties are a huge inspiration for our mission to bring fashion &amp; NFTs together, to empower women around the world. Love everything you do, Lisa! ✨❤️",incredible boss beauties huge inspiration mission bring together empower women world love everything lisa,1.0,0.0,0.0,0.0
