,Username,Datetime,Tweet Id,Text,Likes,Retweets,Replies,Quotes,Mentioned
10,voguesingapore,2022-03-15 07:33:54+00:00,1503635587727003649,"Gudu's piece for @voguesingapore x @VogueUkraine's 'Fashion for Peace' NFT collection, depicts the white forces of good against the forces of evil. 

The sale goes live @opensea on 15 March 8pm SGT here:https://t.co/jnkvJKQYCJ. All proceeds will go to Save The Children Ukraine. https://t.co/s3GjEjXn5v",34,16,4,1,"[User(username='voguesingapore', id=1214895449695510528, displayname='Vogue Singapore', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='VogueUkraine', id=159443222, displayname='Vogue Ukraine', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='opensea', id=946213559213555712, displayname='OpenSea', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,voguesingapore,2022-03-15 06:26:36+00:00,1503618648178831360,".@annaoctiabr's piece for @voguesingapore x @VogueUkraine's 'Fashion for Peace' NFT collection, features a self-portrait of feminine beauty.

The sale goes live @opensea on 15 March 8pm SGT here:https://t.co/jnkvJKQYCJ. All proceeds will go to Save The Children Ukraine. https://t.co/j6vv351TCJ",9,4,0,1,"[User(username='annaoctiabr', id=134163666, displayname='Anna October', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='voguesingapore', id=1214895449695510528, displayname='Vogue Singapore', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='VogueUkraine', id=159443222, displayname='Vogue Ukraine', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='opensea', id=946213559213555712, displayname='OpenSea', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,voguesingapore,2022-03-15 03:19:05+00:00,1503571460329115654,"Vogue Singapore and @VogueUkraine present an NFT collection by six designers and artists from Ukraine, with all proceeds going to Save The Children Ukraine.
The sale goes live @opensea on 8pm SGT/8am EST tonight.
https://t.co/BjDlycvTX8",24,6,8,3,"[User(username='VogueUkraine', id=159443222, displayname='Vogue Ukraine', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='opensea', id=946213559213555712, displayname='OpenSea', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,voguesingapore,2022-03-08 09:27:39+00:00,1501127498267955200,"What does inclusivity look like in the metaverse? Frank and Levina of @MetaArtClub weigh in. 
https://t.co/0YZlf9TeAa",8,2,3,0,"[User(username='MetaArtClub', id=1453004311642918917, displayname='MetaArtClub ∞', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,voguesingapore,2022-02-17 11:35:15+00:00,1494274240002260997,"As fashion week continues, expect more designers to forge their own path in the metaverse.
https://t.co/rZt7dBPhQm",4,1,0,0,
15,voguesingapore,2022-02-10 03:34:12+00:00,1491616464822222850,"From @hpnotik_ making a debut on the metaverse to infusing technology into their designs, here are the radical game changers we're looking forward to see at the New York fall/winter 2022 shows.
https://t.co/Tn9ofld51I",6,2,1,0,"[User(username='hpnotik_', id=1197297988143632391, displayname='kim shui', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
16,voguesingapore,2022-02-09 10:56:44+00:00,1491365443130785794,What an absolute privilege witnessing @lunaikuta's vision come to life in the metaverse! ✨ https://t.co/1B202Zgv6n,5,3,0,0,"[User(username='lunaikuta', id=1211117018331566080, displayname='❀ Luna Ikuta ❀', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
17,voguesingapore,2022-02-09 08:00:02+00:00,1491320973202649089,"Bumping this piece of underrated advice from @binance's @HelenHaiyu up: ""I think it’s extremely important that you buy an NFT because you genuinely like it.""
https://t.co/UQp9JijOxL",3,1,1,0,"[User(username='binance', id=877807935493033984, displayname='Binance', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='HelenHaiyu', id=3875320408, displayname='Helen Hai', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
18,voguesingapore,2022-02-07 06:24:34+00:00,1490572172376801280,"What an inspiring narrative to echo for the #metaverse, congratulations @Krista_Kim on this stunning movement! https://t.co/CtKACHkY18",25,7,4,1,"[User(username='Krista_Kim', id=105657151, displayname='Krista Kim', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
19,voguesingapore,2022-02-07 03:41:50+00:00,1490531221381992449,Thank you @pranksy for your kind words! @lunaikuta definitely captured the essence of 'Grace' beautifully in this #NFT. https://t.co/kBIVNJF9OX,8,2,0,0,"[User(username='pranksy', id=2621412174, displayname='Pranksy 📦', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='lunaikuta', id=1211117018331566080, displayname='❀ Luna Ikuta ❀', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
